Class,True,Predicted,Accuracy,Precision,Recall,F1,AUC,AP
af1 (0.51),4.0,10.0,0.25,0.1,0.25,0.14285714285714285,0.16666666666666669,0.19821428571428573
Qal (0.64),9.0,15.0,0.625,0.6,1.0,0.75,0.28571428571428575,0.4652723819390486
Qaf (0.26),1.0,5.0,0.625,0.0,0.0,0.0,0.2666666666666667,0.08333333333333333
Qat (0.23),1.0,2.0,0.8125,0.0,0.0,0.0,0.6666666666666667,0.16666666666666666
Qc (0.48),8.0,13.0,0.6875,0.6153846153846154,1.0,0.7619047619047619,0.890625,0.9241452991452992
Qca (0.42),8.0,13.0,0.6875,0.6153846153846154,1.0,0.7619047619047619,0.6875,0.6895156926406927
Qr (0.56),14.0,14.0,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.35714285714285715,0.8160775732204304
